pakiet,wersja,bezpośredni_odbiorcy_w_grafie
objc2-foundation,0.3.2,arboard 3.6.1; eframe 0.34.3; egui-winit 0.34.3; glutin 0.32.3; netdev 0.45.0; objc2-app-kit 0.3.2; objc2-core-wlan 0.3.2; objc2-metal 0.3.2; objc2-open-directory 0.3.2; objc2-quartz-core 0.3.2; objc2-security-foundation 0.3.2; objc2-ui-kit 0.3.2; raw-window-metal 1.1.0; tray-icon 0.19.3; webbrowser 1.2.4; wgpu-hal 29.0.1
objc2-metal,0.2.2,objc2-core-image 0.2.2; objc2-quartz-core 0.2.2
objc2-metal,0.3.2,objc2-quartz-core 0.3.2; wgpu-hal 29.0.1
objc2-quartz-core,0.2.2,objc2-app-kit 0.2.2; objc2-ui-kit 0.2.2
objc2-quartz-core,0.3.2,raw-window-metal 1.1.0; wgpu-hal 29.0.1
objc2-ui-kit,0.2.2,winit 0.30.13
objc2-ui-kit,0.3.2,egui-winit 0.34.3
object,0.37.3,backtrace 0.3.76
object,0.39.1,wasmtime 46.0.0; wasmtime-environ 46.0.0; wasmtime-internal-cranelift 46.0.0; wasmtime-internal-jit-debug 46.0.0; wasmtime-internal-unwinder 46.0.0
oid-registry,0.7.1,x509-parser 0.16.0
oid-registry,0.8.1,x509-parser 0.18.1
ordered-float,1.1.1,rusttype 0.8.3
ordered-float,4.6.0,cozo 0.7.6
ordered-float,5.3.0,smartcore 0.5.0; wgpu-hal 29.0.1
parking_lot,0.11.2,sled 0.34.7
parking_lot,0.12.5,acto 0.8.2; antlr4rust 0.5.2; arboard 3.6.1; burn-autodiff 0.21.0; cubecl-common 0.10.0; dhat 0.3.3; eframe 0.34.3; epaint 0.34.3; hickory-resolver 0.26.1; moka 0.12.15; r2d2 0.8.10; scheduled-thread-pool 0.2.7; string_cache 0.8.9; tentaflow 0.1.0-beta; tentaflow-bus 0.1.0; tentaflow-client-native 0.1.0; tentaflow-coding-agent-bridge 0.1.0; tentaflow-core 0.1.0; tentaflow-teams-bot 0.1.0; tentaflow-transport 0.1.0; tokio 1.52.3; tract-data 0.23.3; wgpu 29.0.3; wgpu-core 29.0.1; wgpu-hal 29.0.1
